Type,Region Name,Size,,,,,,,,,,,,,,,
1,HFP,17,,HFP_RX_STREAM_OUT,,AIR_BT_HFP_ENABLE = y,,gDmmIramRegion1,0,DSP_PREDEFINE_HFP_RX_STREAM_OUT_IRAM,gDmmDramRegion1,1024,DSP_PREDEFINE_HFP_RX_STREAM_OUT_DRAM,gDmmSysramRegion1,0,DSP_PREDEFINE_HFP_RX_STREAM_OUT_SYSRAM,callback stream buffer:240(sample)* 2(byte/sample)* 2 channel
1,HFP,17,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,18,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,18,,HFP_TX_STREAM_IN,,AIR_BT_HFP_ENABLE = y,,gDmmIramRegion1,0,DSP_PREDEFINE_HFP_TX_STREAM_IN_IRAM,gDmmDramRegion1,2112,DSP_PREDEFINE_HFP_TX_STREAM_IN_DRAM,gDmmSysramRegion1,0,DSP_PREDEFINE_HFP_TX_STREAM_IN_SYSRAM,callback stream buffer:240(sample)*2(byte/sample)* 4 channel
1,HFP,18,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,,Tail,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_AUDIO,0,Head,,,,,gDmmIramRegion1,0,,gDmmDramRegion1,128,,gDmmSysramRegion1,0,,
1,LE_AUDIO,1,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_AUDIO,1,,LEAUDIO_LC3_PLC_ADV,,,,gDmmIramRegion1,13024,,gDmmDramRegion1,4000,,gDmmSysramRegion1,0,,70416(PIC)+38072(working buffer)
1,LE_AUDIO,1,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_AUDIO,2,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_AUDIO,2,,LEAUDIO_LC3_FFT,,,,gDmmIramRegion1,7869,,gDmmDramRegion1,2200,,gDmmSysramRegion1,0,,70416(PIC)+38072(working buffer)
1,LE_AUDIO,2,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_AUDIO,3,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_AUDIO,3,,LEAUDIO_LC3_DEC,CODEC_DECODER_LC3,,,gDmmIramRegion1,46505,,gDmmDramRegion1,58290,,gDmmSysramRegion1,0,,70416(PIC)+38072(working buffer)
1,LE_AUDIO,3,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_AUDIO,4,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_AUDIO,4,,LEAUDIO_CH_SEL,FUNC_CH_SEL,,,gDmmIramRegion1,0,,gDmmDramRegion1,0,,gDmmSysramRegion1,0,,70416(PIC)+38072(working buffer)
1,LE_AUDIO,4,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_AUDIO,5,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_AUDIO,5,,LEAUDIO_DL_SKEW,FUNC_CLK_SKEW_BLE_MUSIC_DL,,,gDmmIramRegion1,7673,,gDmmDramRegion1,2564,,gDmmSysramRegion1,0,,912+1652(working buffer)
1,LE_AUDIO,5,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_AUDIO,6,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_AUDIO,6,,LEAUDIO_DL_FW,,AIR_BT_CODEC_BLE_ENABLED = y,,gDmmIramRegion1,0,,gDmmDramRegion1,96,,gDmmSysramRegion1,0,,88(DSP_Callback_FeatureConfig)+504+7720(DSP_Callback_ParaSetup)
1,LE_AUDIO,6,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_AUDIO,7,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_AUDIO,7,,LEAUDIO_DL_STREAM_IN,,AIR_BT_CODEC_BLE_ENABLED = y,,gDmmIramRegion1,0,,gDmmDramRegion1,504,,gDmmSysramRegion1,0,,480(callback in_malloc_size) * 1(channel number)
1,LE_AUDIO,7,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_AUDIO,8,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_AUDIO,8,,LEAUDIO_DL_STREAM_OUT,,AIR_BT_CODEC_BLE_ENABLED = y,,gDmmIramRegion1,0,,gDmmDramRegion1,7720,,gDmmSysramRegion1,0,,callback stream buffer:240(sample)* 2(byte/sample)* 2 channel
1,LE_AUDIO,8,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_AUDIO,,Tail,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,0,Head,,,,,gDmmIramRegion1,0,,gDmmDramRegion1,128,,gDmmSysramRegion1,0,,
1,LE_CALL,1,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,1,,LECALL_LC3_PLC_STD,,,,gDmmIramRegion1,733,,gDmmDramRegion1,1820,,gDmmSysramRegion1,0,,70416(PIC)+20720(working buffer)
1,LE_CALL,1,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,2,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,2,,LECALL_LC3_FFT,,,,gDmmIramRegion1,7869,,gDmmDramRegion1,2200,,gDmmSysramRegion1,0,,70416(PIC)+20720(working buffer)
1,LE_CALL,2,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,3,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,3,,LECALL_LC3_DEC,,,,gDmmIramRegion1,0,,gDmmDramRegion1,58264,,gDmmSysramRegion1,46576,,70416(PIC)+20720(working buffer)
1,LE_CALL,3,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,4,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,4,,LECALL_NR_LIB,FUNC_RX_NR,AIR_VOICE_NR_ENABLE = y,,gDmmIramRegion1,81856,,gDmmDramRegion1,259296,,gDmmSysramRegion1,0,,13284(PIC)+32864(working buffer)
1,LE_CALL,4,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,5,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,5,,LECALL_RX_NR,FUNC_RX_NR,AIR_VOICE_NR_ENABLE = y,,gDmmIramRegion1,0,,gDmmDramRegion1,89024,,gDmmSysramRegion1,0,,13284(PIC)+32864(working buffer)
1,LE_CALL,5,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,6,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,6,,LECALL_SWB_DRC_LIB,FUNC_RX_SWB_DRC,AIR_VOICE_DRC_ENABLE = y,,gDmmIramRegion1,6989,,gDmmDramRegion1,1872,,gDmmSysramRegion1,0,,1872(PIC)+624(working buffer)
1,LE_CALL,6,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,7,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,7,,LECALL_RX_SWB_DRC,FUNC_RX_SWB_DRC,AIR_VOICE_DRC_ENABLE = y,,gDmmIramRegion1,0,,gDmmDramRegion1,624,,gDmmSysramRegion1,0,,1872(PIC)+624(working buffer)
1,LE_CALL,7,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,8,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,8,,LECALL_CLK_SKEW_DL,FUNC_CLK_SKEW_BLE_CALL_DL,,,gDmmIramRegion1,7673,,gDmmDramRegion1,2564,,gDmmSysramRegion1,0,,912+1652(working buffer)
1,LE_CALL,8,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,9,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,9,,LECALL_CLK_SKEW_UL,FUNC_CLK_SKEW_BLE_CALL_UL,,,gDmmIramRegion1,7673,,gDmmDramRegion1,2884,,gDmmSysramRegion1,0,,912+1972(working buffer)
1,LE_CALL,9,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,10,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,10,,LECALL_MIC_SW_GAIN,FUNC_MIC_SW_GAIN,,,gDmmIramRegion1,0,,gDmmDramRegion1,32,,gDmmSysramRegion1,0,,(working buffer)
1,LE_CALL,10,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,11,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,11,,LECALL_TX_NR,FUNC_TX_NR/,AIR_VOICE_NR_ENABLE = y,,gDmmIramRegion1,0,,gDmmDramRegion1,0,,gDmmSysramRegion1,0,,246008(PIC)+55384(working buffer)
1,LE_CALL,11,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,12,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,12,,LECALL_TX_SWB_DRC,FUNC_TX_SWB_DRC,AIR_VOICE_DRC_ENABLE = y,,gDmmIramRegion1,0,,gDmmDramRegion1,624,,gDmmSysramRegion1,0,,(working buffer)
1,LE_CALL,12,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,13,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,13,,LECALL_LC3_ENC,,,,gDmmIramRegion1,0,,gDmmDramRegion1,0,,gDmmSysramRegion1,0,,70416(PIC)+20720(working buffer)
1,LE_CALL,13,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,14,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,14,,LECALL_DL_FW,,AIR_BT_CODEC_BLE_ENABLED = y,,gDmmIramRegion1,0,,gDmmDramRegion1,160,,gDmmSysramRegion1,0,,104(DSP_Callback_FeatureConfig)+344+7720(DSP_Callback_ParaSetup)
1,LE_CALL,14,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,15,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,15,,LECALL_UL_FW,,AIR_BT_CODEC_BLE_ENABLED = y,,gDmmIramRegion1,0,,gDmmDramRegion1,160,,gDmmSysramRegion1,0,,136(DSP_Callback_FeatureConfig)+3880(DSP_Callback_ParaSetup)
1,LE_CALL,15,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,16,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,16,,LECALL_DL_STREAM_IN,,AIR_BT_CODEC_BLE_ENABLED = y,,gDmmIramRegion1,0,,gDmmDramRegion1,960,,gDmmSysramRegion1,0,,480(callback in_malloc_size) * 1(channel number)
1,LE_CALL,16,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,17,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,17,,LECALL_DL_STREAM_OUT,,AIR_BT_CODEC_BLE_ENABLED = y,,gDmmIramRegion1,0,,gDmmDramRegion1,7720,,gDmmSysramRegion1,0,,callback stream buffer:240(sample)* 2(byte/sample)* 2 channel
1,LE_CALL,17,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,18,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,18,,LECALL_UL_STREAM_IN,,AIR_BT_CODEC_BLE_ENABLED = y,,gDmmIramRegion1,0,,gDmmDramRegion1,3880,,gDmmSysramRegion1,0,,callback stream buffer:240(sample)*2(byte/sample)* 4 channel
1,LE_CALL,18,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LE_CALL,,Tail,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LINEIN,0,Head,,,,,gDmmIramRegion1,0,,gDmmDramRegion1,128,,gDmmSysramRegion1,0,,
1,LINEIN,1,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LINEIN,1,,LINEIN_MIC_SW_GAIN,FUNC_MIC_SW_GAIN,,,gDmmIramRegion1,0,,gDmmDramRegion1,8,,gDmmSysramRegion1,0,,2304(working buffer)   
1,LINEIN,1,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LINEIN,2,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LINEIN,2,,LINEIN_INS,FUNC_INS,AIR_LINEIN_INS_ENABLE,,gDmmIramRegion1,0,,gDmmDramRegion1,2304,,gDmmSysramRegion1,0,,2304(working buffer)   
1,LINEIN,2,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LINEIN,3,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LINEIN,3,,LINEIN_PEQ,FUNC_PEQ3,AIR_LINEIN_PEQ_ENABLE,,gDmmIramRegion1,1213,,gDmmDramRegion1,6536,,gDmmSysramRegion1,0,,840(PIC)+5696(working buffer)
1,LINEIN,3,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LINEIN,4,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LINEIN,4,,LINEIN_DRC,FUNC_DRC3,AIR_DRC_ENABLE,,gDmmIramRegion1,6989,,gDmmDramRegion1,9280,,gDmmSysramRegion1,0,,1872(PIC)+7408(working buffer)
1,LINEIN,4,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LINEIN,5,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LINEIN,5,,LINEIN_FW,,,,gDmmIramRegion1,0,,gDmmDramRegion1,48,,gDmmSysramRegion1,0,,Stream feature: 16(sizeof feature table)*3(Feature number)
1,LINEIN,5,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LINEIN,6,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LINEIN,6,,LINEIN_STREAM_IN,,,,gDmmIramRegion1,0,,gDmmDramRegion1,8192,,gDmmSysramRegion1,0,,callback stream buffer:512(sample)*4(byte/sample)* 2 channel
1,LINEIN,6,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,LINEIN,,Tail,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,USB,0,Head,,,,,gDmmIramRegion1,0,,gDmmDramRegion1,128,,gDmmSysramRegion1,0,,
1,USB,1,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,USB,1,,USB_PEQ,FUNC_PEQ_INSTANT,AIR_PEQ_ENABLE = y,,gDmmIramRegion1,1213,,gDmmDramRegion1,6536,,gDmmSysramRegion1,0,,
1,USB,1,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,USB,2,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,USB,2,,USB_PEQ2,FUNC_PEQ2,AIR_PEQ_ENABLE = y,,gDmmIramRegion1,0,,gDmmDramRegion1,6536,,gDmmSysramRegion1,0,,
1,USB,2,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,USB,3,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,USB,3,,USB_DRC,FUNC_DRC,AIR_DRC_ENABLE = y,,gDmmIramRegion1,6989,,gDmmDramRegion1,9280,,gDmmSysramRegion1,0,,
1,USB,3,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,USB,4,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,USB,4,,USB_FW,,,,gDmmIramRegion1,0,,gDmmDramRegion1,48,,gDmmSysramRegion1,0,,Stream feature: 16(sizeof feature table)*3(Feature number)
1,USB,4,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,USB,5,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
